,Unnamed: 0,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,0,65438,7,31,2,0,2,1,35,5.0,8,1,0,49,0
1,1,65141,4,14,0,1,0,1,30,5.0,4,0,0,60,0
2,2,7513,7,10,0,1,2,1,34,3.0,7,0,0,50,0
3,3,2542,7,15,0,1,0,2,39,1.0,10,0,0,50,0
4,4,48945,8,18,0,1,0,1,45,3.0,2,0,0,73,0
5,5,58896,0,11,0,1,2,2,31,3.0,7,0,0,85,0
6,6,20379,4,12,0,0,0,1,31,3.0,5,0,0,59,0
7,7,16290,4,27,2,1,2,1,33,3.0,6,0,0,63,0
8,8,73202,0,12,0,1,0,1,28,4.0,5,0,0,83,0
9,9,28911,7,0,2,1,2,1,32,5.0,5,1,0,54,0
10,10,29934,8,15,0,1,2,1,30,3.0,1,0,0,77,0
11,11,49017,7,31,0,0,2,1,35,5.0,3,1,0,50,1
12,12,60051,7,28,0,1,2,1,49,5.0,5,1,0,49,0
13,13,38401,8,21,2,1,0,2,39,3.0,16,0,0,80,0
14,14,77040,6,11,2,1,2,1,37,3.0,7,0,0,84,0
15,15,43931,4,31,0,1,0,1,37,1.0,10,0,0,60,0
16,16,7152,8,11,0,1,0,1,38,3.0,5,1,0,77,0
17,17,9403,7,24,0,1,0,1,34,1.0,4,0,0,51,0
18,18,17436,7,24,0,1,0,1,34,5.0,8,1,0,46,0
19,19,54461,4,6,0,1,0,1,37,3.0,9,0,0,59,0
20,20,12067,5,5,0,1,0,1,35,3.0,7,0,0,75,0
21,21,33332,4,6,0,1,2,1,41,4.0,11,0,0,57,0
22,22,58789,1,2,0,0,0,1,28,3.0,4,0,0,63,0
23,23,71177,5,29,0,1,0,1,27,3.0,1,0,0,70,0
24,24,52057,1,14,2,1,2,2,39,5.0,7,0,0,59,0
25,25,26585,8,14,0,1,0,1,27,5.0,3,1,0,83,0
26,26,37749,5,18,0,1,0,1,31,5.0,4,1,0,68,0
27,27,2370,8,18,0,1,0,1,33,4.0,4,0,0,79,0
28,28,8219,0,29,0,1,0,1,29,5.0,3,1,0,80,0
29,29,74759,7,28,0,1,2,1,26,3.0,1,0,0,44,0
30,30,27395,5,6,0,1,2,1,37,5.0,10,1,0,72,0
31,31,58536,1,24,0,1,0,2,26,1.0,2,0,0,61,0
32,32,35465,7,31,0,0,2,1,24,1.0,2,0,0,48,0
33,33,51756,4,11,0,1,2,2,57,4.0,6,0,0,58,0
34,34,57011,0,14,0,1,0,2,27,5.0,3,1,0,87,0
