,Unnamed: 0,Unnamed: 0.1,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
43915,43915,43915,53920,4,10,2,1,0,1,32,4.0,2,1,0,58,0
1203,1203,1203,45230,3,14,0,1,0,1,29,3.0,1,0,0,62,0
5221,5221,5221,38534,5,14,0,0,0,1,30,3.0,1,0,0,70,0
38200,38200,38200,55586,7,22,0,1,2,1,29,3.0,4,0,0,44,0
17940,17940,17940,721,7,18,0,0,0,4,29,3.0,4,0,0,51,0
8890,8890,8890,43910,7,7,0,0,0,1,32,5.0,9,0,0,45,0
46671,46671,46671,73761,4,11,2,0,2,1,40,4.0,2,1,0,62,1
23311,23311,23311,57358,5,11,2,1,2,1,48,2.0,17,0,0,82,1
10265,10265,10265,8286,8,30,0,0,2,1,30,3.0,6,0,0,81,0
1539,1539,1539,75285,0,11,0,1,2,1,41,3.0,13,1,0,82,0
29587,29587,29587,24080,6,14,2,1,2,1,34,4.0,4,0,0,92,0
25166,25166,25166,33304,7,11,0,1,2,1,36,1.0,4,0,0,47,0
41530,41530,41530,57401,7,19,0,1,2,1,41,1.0,7,0,0,53,0
29948,29948,29948,74566,0,6,2,1,2,1,35,3.0,10,0,0,81,0
9980,9980,9980,67544,0,17,0,1,0,1,31,4.0,3,1,0,84,0
15431,15431,15431,3150,4,11,0,0,2,1,33,4.0,4,1,1,59,1
22080,22080,22080,71019,4,31,0,0,0,1,39,5.0,3,1,0,65,0
656,656,656,22820,5,11,0,1,2,1,26,3.0,1,0,0,72,0
7905,7905,7905,14649,8,18,2,0,0,1,40,3.0,3,0,0,82,0
23245,23245,23245,46144,0,19,0,1,2,1,33,4.0,5,0,0,86,0
49128,49128,49128,15615,0,23,0,1,0,1,31,3.0,1,1,0,88,0
31892,31892,31892,25187,4,14,2,1,0,1,45,4.0,7,0,0,59,0
4087,4087,4087,76978,7,19,0,1,0,1,39,1.0,10,0,0,49,0
54228,54228,54228,68081,7,15,0,1,0,1,32,3.0,2,0,0,52,0
51916,51916,51916,72414,7,6,0,1,0,2,28,5.0,2,0,0,52,0
39549,39549,39549,74805,7,2,2,1,0,1,38,2.0,10,0,0,48,0
